0.015, 0, 0
0, 0, 0
6.43499, 0, 0
6.419991, 0, 0
24.34482, 4, 4
29.53461, 6, 5
34.25942, 8, 10
5.909995, 0, 0
44.429, 14, 13
23.14487, 3, 6
14.10012, 2, 0
58.33344, 18, 13
38.23426, 8, 7
21.19495, 3, 5
15.10514, 1, 0
24.20983, 4, 7
41.21914, 12, 11
35.33937, 10, 9
36.16434, 8, 9
36.31433, 7, 9
28.34966, 6, 7
16.99512, 3, 3
25.48477, 3, 6
6.359991, 0, 0
24.01483, 3, 6
12.81009, 0, 1
15.07514, 1, 2
31.34953, 6, 8
28.13967, 4, 4
26.41474, 6, 5
24.14983, 4, 5
5.924995, 0, 0
15.21014, 1, 2
13.09509, 0, 3
25.24478, 4, 5
35.96935, 9, 9
31.55953, 7, 10
9.435009, 0, 1
15.39015, 2, 3
23.21987, 4, 6
44.33901, 12, 15
15.01514, 1, 3
24.22482, 4, 4
25.19979, 5, 8
35.68436, 8, 7
30.65956, 6, 8
34.94939, 7, 11
27.65969, 5, 7
20.14499, 3, 5
14.98514, 3, 2
24.8548, 3, 7
20.42998, 3, 3
14.41512, 0, 3
14.35512, 0, 3
33.65944, 8, 8
34.91939, 8, 9
20.51998, 3, 5
58.48343, 18, 15
65.15816, 22, 16
20.24999, 3, 5
14.04011, 0, 3
54.20861, 17, 13
16.17015, 1, 4
52.18369, 13, 21
41.78911, 12, 12
25.87476, 3, 10
6.359991, 0, 0
41.29413, 13, 9
28.13967, 5, 8
29.17462, 7, 6
13.66511, 0, 3
6.359991, 0, 0
53.21865, 16, 18
29.7296, 7, 7
28.01967, 6, 8
35.60936, 10, 8
20.51998, 3, 4
6.419991, 0, 0
14.14512, 1, 3
38.96923, 10, 9
123.3408, 42, 56
39.6892, 10, 7
19.14003, 3, 2
58.36344, 13, 16
15.54015, 0, 2
19.72501, 3, 4
31.36453, 6, 6
51.20873, 16, 11
47.0689, 12, 11
17.4751, 2, 4
25.16979, 6, 4
9.645014, 0, 1
21.85492, 4, 7
30.52457, 5, 6
14.40012, 1, 2
38.57924, 10, 7
27.86968, 5, 4
13.4251, 0, 1
13.4251, 0, 3
13.09509, 1, 0
31.63452, 5, 10
21.80992, 5, 4
13.06509, 1, 0
36.79432, 8, 10
13.81511, 1, 0
27.85468, 5, 7
23.95484, 4, 3
26.05475, 6, 7
35.50437, 8, 9
34.46941, 8, 6
36.74932, 7, 11
24.08983, 4, 5
12.45008, 0, 3
15.09014, 1, 2
31.97951, 7, 11
37.49929, 8, 10
28.34966, 5, 7
14.04011, 2, 1
52.37868, 15, 12
21.07495, 3, 6
49.4988, 12, 13
40.48417, 9, 11
21.95992, 3, 6
14.10012, 1, 2
30.23958, 8, 5
14.05511, 1, 2
26.18974, 3, 7
16.27515, 3, 1
39.05922, 10, 8
25.13979, 3, 8
6.374991, 0, 0
24.10483, 4, 6
46.04894, 14, 13
40.39417, 10, 10
9.420009, 0, 1
33.86943, 8, 10
6.359991, 0, 0
34.01943, 7, 8
19.71001, 3, 3
43.37905, 13, 8
28.49965, 6, 6
24.7198, 4, 7
36.25434, 8, 10
5.819996, 0, 0
33.47945, 8, 10
37.2293, 9, 9
6.359991, 0, 0
43.21405, 10, 14
34.06443, 8, 7
64.60319, 22, 15
21.86992, 3, 5
22.55989, 3, 5
42.94407, 11, 10
28.96463, 7, 8
5.909995, 0, 0
17.74509, 3, 4
27.14971, 3, 4
49.12381, 15, 8
26.24974, 6, 3
35.95435, 7, 8
34.6194, 7, 9
25.25978, 5, 3
56.51851, 16, 17
6.419991, 0, 0
27.82468, 6, 4
14.10012, 0, 1
29.33962, 6, 8
31.28954, 7, 5
12.52508, 2, 1
13.66511, 1, 2
36.97431, 8, 9
32.65448, 8, 9
32.11451, 8, 7
38.27925, 11, 10
44.87899, 13, 16
15.15014, 2, 3
29.8646, 7, 5
6.359991, 0, 0
35.23438, 10, 11
21.89992, 2, 8
47.50388, 13, 9
24.64481, 3, 6
